stateid,statedescription,sectorid,sectorname,price,sales,price-units,sales-units,year,month
IL,Illinois,IND,industrial,9.78,3340.74108,cents per kilowatt-hour,million kilowatt hours,2025,4
IL,Illinois,RES,residential,18.28,2820.99819,cents per kilowatt-hour,million kilowatt hours,2025,4
NY,New York,COM,commercial,19.35,5302.75347,cents per kilowatt-hour,million kilowatt hours,2025,4
NY,New York,IND,industrial,8.15,1325.74545,cents per kilowatt-hour,million kilowatt hours,2025,4
NY,New York,RES,residential,25.69,3475.5178,cents per kilowatt-hour,million kilowatt hours,2025,4
TX,Texas,COM,commercial,8.66,13179.44992,cents per kilowatt-hour,million kilowatt hours,2025,4
TX,Texas,IND,industrial,6.5,14303.14353,cents per kilowatt-hour,million kilowatt hours,2025,4
TX,Texas,RES,residential,15.52,10523.12001,cents per kilowatt-hour,million kilowatt hours,2025,4
CA,California,COM,commercial,23.84,8989.73539,cents per kilowatt-hour,million kilowatt hours,2025,3
CA,California,IND,industrial,19.79,3064.27558,cents per kilowatt-hour,million kilowatt hours,2025,3
CA,California,RES,residential,32.48,5811.5591,cents per kilowatt-hour,million kilowatt hours,2025,3
CO,Colorado,COM,commercial,11.33,1738.50145,cents per kilowatt-hour,million kilowatt hours,2025,3
CO,Colorado,IND,industrial,8.49,1232.50245,cents per kilowatt-hour,million kilowatt hours,2025,3
CO,Colorado,RES,residential,15.04,1544.96648,cents per kilowatt-hour,million kilowatt hours,2025,3
IL,Illinois,COM,commercial,13.1,3731.55972,cents per kilowatt-hour,million kilowatt hours,2025,3
IL,Illinois,IND,industrial,10.64,3367.67213,cents per kilowatt-hour,million kilowatt hours,2025,3
IL,Illinois,RES,residential,17.55,3333.75321,cents per kilowatt-hour,million kilowatt hours,2025,3
NY,New York,COM,commercial,20.32,5760.12863,cents per kilowatt-hour,million kilowatt hours,2025,3
NY,New York,IND,industrial,8.55,1202.31821,cents per kilowatt-hour,million kilowatt hours,2025,3
NY,New York,RES,residential,25.45,4041.99873,cents per kilowatt-hour,million kilowatt hours,2025,3
TX,Texas,COM,commercial,8.72,12989.33558,cents per kilowatt-hour,million kilowatt hours,2025,3
TX,Texas,IND,industrial,6.5,13810.92618,cents per kilowatt-hour,million kilowatt hours,2025,3
TX,Texas,RES,residential,15.28,10896.87109,cents per kilowatt-hour,million kilowatt hours,2025,3
CA,California,COM,commercial,24.2,7926.23525,cents per kilowatt-hour,million kilowatt hours,2025,2
CA,California,IND,industrial,19.0,2906.56854,cents per kilowatt-hour,million kilowatt hours,2025,2
CA,California,RES,residential,31.72,6253.62368,cents per kilowatt-hour,million kilowatt hours,2025,2
CO,Colorado,COM,commercial,11.37,1588.3952,cents per kilowatt-hour,million kilowatt hours,2025,2
CO,Colorado,IND,industrial,8.19,1129.47384,cents per kilowatt-hour,million kilowatt hours,2025,2
CO,Colorado,RES,residential,15.08,1591.1971,cents per kilowatt-hour,million kilowatt hours,2025,2
IL,Illinois,COM,commercial,12.79,3592.1017,cents per kilowatt-hour,million kilowatt hours,2025,2
IL,Illinois,IND,industrial,9.89,3421.51952,cents per kilowatt-hour,million kilowatt hours,2025,2
IL,Illinois,RES,residential,16.47,3753.09596,cents per kilowatt-hour,million kilowatt hours,2025,2
NY,New York,COM,commercial,20.88,6058.51289,cents per kilowatt-hour,million kilowatt hours,2025,2
NY,New York,IND,industrial,11.56,1308.20853,cents per kilowatt-hour,million kilowatt hours,2025,2
NY,New York,RES,residential,26.22,4570.11533,cents per kilowatt-hour,million kilowatt hours,2025,2
TX,Texas,COM,commercial,8.36,13212.96334,cents per kilowatt-hour,million kilowatt hours,2025,2
TX,Texas,IND,industrial,6.09,13452.91209,cents per kilowatt-hour,million kilowatt hours,2025,2
TX,Texas,RES,residential,14.88,13166.46056,cents per kilowatt-hour,million kilowatt hours,2025,2
CA,California,COM,commercial,23.9,9352.45113,cents per kilowatt-hour,million kilowatt hours,2025,1
CA,California,IND,industrial,19.31,3050.40664,cents per kilowatt-hour,million kilowatt hours,2025,1
CA,California,RES,residential,30.28,7917.37927,cents per kilowatt-hour,million kilowatt hours,2025,1
CO,Colorado,COM,commercial,10.99,1767.28252,cents per kilowatt-hour,million kilowatt hours,2025,1
CO,Colorado,IND,industrial,8.62,1267.19704,cents per kilowatt-hour,million kilowatt hours,2025,1
CO,Colorado,RES,residential,14.93,1887.3316,cents per kilowatt-hour,million kilowatt hours,2025,1
IL,Illinois,COM,commercial,11.86,4105.09387,cents per kilowatt-hour,million kilowatt hours,2025,1
IL,Illinois,IND,industrial,10.11,3608.51568,cents per kilowatt-hour,million kilowatt hours,2025,1
